ActiveScreener Id;Title;Authors;List of Reviewers;Include this reference?;Characterize the organization to which the authors are affiliated?;Strategies;Study characteristics;Potential effects or impact;What is the evaluation method?;What is the contaminant or variable under study?;TEMPORAL: What is the temporal scale of the study?;SPATIAL 1:What is the spatial scale of the study?;SPATIAL 2. National or International;SPATIAL 3: What is the Chilean macro zone in which the study is developed?;Emission  source in study
7362185;Carbonaceous aerosols in fine particulate matter of Santiago metropolitan Area, Chile;Toro A., R., Flocchini, R., Morales Segura, R. G. E.  et al.;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, "", ""Modeling air pollution""";"""Ambient (eg outdoor)""";"""Human health""";"""Meteorological measurements"", ""Chemical composition"", ""concentrations""";"""PM - particulate matter"", ""C  - TC/EC/OC/BC - Carbon compounds""";"""Hours- 3 Weeks""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Domestic heating / wood burning"", ""Traffic """
7362184;Ozone, nitrogen oxides, and volatile organic compounds in a central zone of Chile;Toro A, R., Seguel, R. J., Morales S, R. G. E.  et al.;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)"", ""Private sector""";"""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, "", ""Assessment of representativeness""";"""Ambient (eg outdoor)""";"""Regulatory and Legal""";"""Meteorological measurements"", ""concentrations""";"""O3 ozone - photochemical smog"", ""NOx - Oxides of Nitrogen (NyOx, NH3)"", ""VOCs/SVOCs - Organic Compounds""";"""Month - to 3 months""";"""Regional""";"""Only national""";"""Central zone""";"""Traffic """
7362183;Inhaled and inspired particulates in Metropolitan Santiago Chile exceed air quality standards;Toro A, R., Morales S, R. G. E., Canales, M.  et al.;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Information of the public"", ""Exposure assessment"", ""Other unclassified""";"""Ambient (eg outdoor)""";"""Regulatory and Legal""";"""Meteorological measurements"", ""concentrations""";"""PM - particulate matter""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Domestic heating / wood burning"", ""Traffic "", ""Industrial and commercial emissions """
7362182;Exploring atmospheric stagnation during a severe particulate matter air pollution episode over complex terrain in Santiago, Chile;Toro A, R., Kvaki, M., Klai, Z. B.  et al.;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Other unclassified""";"""Ambient (eg outdoor)""";"""Regulatory and Legal""";"""Computer Modeling"", ""Meteorological measurements"", ""concentrations""";"""PM - particulate matter""";"""Hours- 3 Weeks""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Domestic heating / wood burning"", ""Traffic """
7362181;Air pollution and COVID-19 lockdown in a large South American city: Santiago Metropolitan Area, Chile;Toro A, R., CatalÃ¡n, F., Urdanivia, F. R.  et al.;Toro, Richard;"""Yes, include the reference""";"""International organization"", ""Academia (university, institute, others)""";"""Other unclassified""";"""Ambient (eg outdoor)""";"""Human health""";"""Satellite approach"", ""concentrations""";"""PM - particulate matter"", ""PHYS - Physical measurements (eg radiation)"", ""COx - Oxides of Carbon"", ""NOx - Oxides of Nitrogen (NyOx, NH3)"", ""O3 ozone - photochemical smog""";"""Month - to 3 months""";"""Regional""";"""Only national""";"""Central zone""";"""Traffic """
7362180;Physical and chemical properties of the aerosol within the southeastern Pacific marine boundary layer;Tomlinson, J. M., Li, R. J., Collins, D. R. ;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Other unclassified""";"""Ambient (eg outdoor)""";"""Ecological  (animal, plants)"", ""Climate""";"""concentrations"", ""Physical measurements of pollutants""";"""AC-Anion and cations"", ""PM - particulate matter"", ""Aerosol""";"""Month - to 3 months""";"""Regional""";"""International comparisons""";"""Little North"", ""Great North""";"""Not applicable"""
7362179;Respiratory hazard assessment of combined exposure to complete gasoline exhaust and respirable volcanic ash in a multicellular human lung model at the air-liquid interface;TomaÅ¡ek, I., Horwell, C. J., Bisig, C.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)"", ""International organization""";"""Information of the public"", ""Other unclassified"", ""Exposure assessment""";"""Ambient (eg outdoor)""";"""Human health""";"""Epidemiological"", ""concentrations""";"""Biological end-point"", ""COx - Oxides of Carbon"", ""PM - particulate matter"", ""C  - TC/EC/OC/BC - Carbon compounds"", ""NOx - Oxides of Nitrogen (NyOx, NH3)""";"""Hours- 3 Weeks""";"""Regional""";"""International comparisons""";"""Austral austral"", ""South zone""";"""Natural sources """
7362178;Demonstration of a powerful mutagenic dinitropyrene in airborne particulate matter;Tokiwa, H., Kitamori, S., Nakagawa, R.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""management tool""";"""Laboratory""";"""Human health""";"""Toxicological""";"""HAPs - hidrocarburos aromÃ¡ticos policÃ­clicos """;"""Month - to 3 months""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Traffic """
7362177;Tree-ring responses in Araucaria araucana to two major eruptions of Lonquimay Volcano (Chile);Tognetti, R., Lombardi, F., Lasserre, B.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Information of the public"", ""management tool""";"""Ambient (eg outdoor)""";"""Ecological  (animal, plants)""";"""Chemical composition"", ""Others not classified""";"""Other""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""South zone""";"""Natural sources """
7362176;A Chile air filter;Tetley, P. A. ;Toro, Richard;"""No, exclude the reference""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7362175;Clearing the air;Tetley, P. A. ;Sanchez, Luis;"""No, exclude the reference""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7362174;Volcanic ash from Puyehue-CordÃ³n Caulle Volcanic Complex and Calbuco promote a differential response of pro-inflammatory and oxidative stress mediators on human conjunctival epithelial cells;Tesone, A. I., Lasagni Vitar, R. M., Tau, J.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Other unclassified"", ""Exposure assessment""";"""Ambient (eg outdoor)"", ""Laboratory""";"""Human health""";"""Toxicological"", ""concentrations""";"""Other""";"""Month - to 3 months""";"""Not applicable""";"""Not applicable""";"""Not applicable""";"""Natural sources """
7362173;Solar radiation, air pollution, and bronchiolitis hospitalizations in Chile: An ecological study;Terrazas, C., Castro-Rodriguez, J. A., Borzutzky, A. ;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, """;"""Ambient (eg outdoor)""";"""Human health""";"""concentrations"", ""Meteorological measurements"", ""Epidemiological""";"""PM - particulate matter""";"""1 Year or more""";"""Regional""";"""Only national""";"""National level(not insular or antarctic)""";"""Domestic heating / wood burning"""
7362172;Advanced determination of the spatial gradient of human health risk and ecological risk from exposure to As, Cu, Pb, and Zn in soils near the Ventanas Industrial Complex (PuchuncavÃ­, Chile);Tapia-Gatica, J., GonzÃ¡lez-Miranda, I., Salgado, E.  et al.;Sanchez, Luis;"""No, exclude the reference""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7362171;Field performance of a low-cost sensor in the monitoring of particulate matter in Santiago, Chile;Tagle, M., Rojas, F., Reyes, F.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Air Pollutant Receptor Modeling"", ""Exposure assessment"", ""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, """;"""Technological development""";"""Economic""";"""concentrations""";"""PM - particulate matter""";"""Season - Year""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Traffic """
7362170;Spatiotemporal variation in composition of submicron particles in Santiago Metropolitan Region, Chile;Tagle, M., Reyes, F., VÃ¡squez, Y.  et al.;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, """;"""Ambient (eg outdoor)""";"""Regulatory and Legal""";"""concentrations"", ""Meteorological measurements"", ""Chemical composition""";"""AC-Anion and cations"", ""C  - TC/EC/OC/BC - Carbon compounds"", ""PHYS - Physical measurements (eg radiation)"", ""O3 ozone - photochemical smog""";"""Season - Year""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Industrial and commercial emissions "", ""Domestic heating / wood burning"", ""Traffic """
7362169;A 2000-year record of mercury and ancient civilizations in seal hairs from King George Island, West Antarctica;Sun, L., Yin, X., Liu, X.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Modeling air pollution"", ""Information of the public"", ""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, """;"""Ambient (eg outdoor)""";"""Ecological  (animal, plants)""";"""concentrations""";"""HM - heavy metals""";"""1 Year or more""";"""Regional"", ""Local (rural, suburban, urban)""";"""Only national""";"""Antartic""";"""Mining"""
7362168;Quantifying the single-scattering albedo for the January 2017 Chile wildfires from simulations of the OMI absorbing aerosol index;Sun, J. Y. T., Veefkind, J. P., van Velthoven, P.  et al.;Sanchez, Luis;"""Yes, include the reference""";"""International organization"", ""Academia (university, institute, others)""";"""Monitoring network design"", ""Other unclassified"", ""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, """;"""Ambient (eg outdoor)""";"""Others not classified"", ""Ecological  (animal, plants)""";"""concentrations"", ""Meteorological measurements"", ""Physical measurements of pollutants"", ""Computer Modeling"", ""Satellite approach""";"""PHYS - Physical measurements (eg radiation)""";"""Hours- 3 Weeks""";"""Regional""";"""Only national""";"""Central zone""";"""Wildfires"""
7362167;Personal exposure to particulate matter in commuters using different transport modes (bus, bicycle, car and subway) in an assigned route in downtown Santiago, Chile;SuÃ¡rez, L., MesÃ­as, S., Iglesias, V.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Exposure assessment""";"""Ambient (eg outdoor)""";"""Human health""";"""concentrations""";"""PM - particulate matter""";"""Season - Year""";"""Micro-scale (indoor, workplace, residential, street canyons, critical point, etc)""";"""Only national""";"""Central zone""";"""Traffic """
7362166;Natural radiation measurements in Chile;Stuardo, E. ;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Exposure assessment""";"""Indoor (eg indoor, work environments)""";"""Human health"", ""Regulatory and Legal""";"""concentrations""";"""Other"", ""PHYS - Physical measurements (eg radiation)""";"""1 Year or more""";"""Regional""";"""Only national""";"""Antartic"", ""Central zone""";"""Natural sources """
7362165;Pollution in coastal fog at Alto Patache, Northern Chile;StrÃ¤ter, E., Westbeld, A., Klemm, O. ;Toro, Richard;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, """;"""Ambient (eg outdoor)"", ""Technological development""";"""Others not classified""";"""concentrations"", ""Chemical composition"", ""Satellite approach""";"""AC-Anion and cations"", ""HM - heavy metals"", ""SOx - Oxides of Sulphur""";"""Month - to 3 months""";"""Local (rural, suburban, urban)""";"""Only national""";"""Great North""";"""Industrial and commercial emissions "", ""Mining"", ""Power generation"""
7362164;Observing the Impact of Calbuco Volcanic Aerosols on South Polar Ozone Depletion in 2015;Stone, K. A., Solomon, S., Kinnison, D. E.  et al.;Sanchez, Luis;"""Yes, include the reference""";"""International organization"", ""Academia (university, institute, others)""";"""Other unclassified"", ""Information of the public""";"""Ambient (eg outdoor)""";"""Ecological  (animal, plants)"", ""Climate""";"""Physical measurements of pollutants"", ""Computer Modeling"", ""Satellite approach"", ""concentrations""";"""O3 STRATOs - Ozone layer"", ""AC-Anion and cations""";"""1 Year or more""";"""Regional""";"""International comparisons""";"""Antartic"", ""South zone"", ""Austral austral""";"""Natural sources """
7362163;Statistical testing of availability for mining technological systems with air quality constraints;Stehlik, M., Economou, P., Papic, L.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Other unclassified"", ""Information of the public""";"""Technological development""";"""Economic""";"""Computer Modeling"", ""Others not classified""";"""PM - particulate matter""";"""Not applicable""";"""Local (rural, suburban, urban)""";"""Only national""";"""Great North""";"""Mining"""
